SensorId,SensoridName,Recordtime,VsrId,CarsTotal,CarsSpeed,Collect,CarsSVo,CarsTVo,CarsLVo,RecordDate,Week,Holiday,Avg,AvgSD,CheckDayData,SmoSpeed003,SmoSpeed004,Pearson004
157,nfbVD-N1-S-83-O-NE-2-??,9:00,1,22,16,36,18,1,3,14/1/2015,3,0,19,-3,1,16.28637718,16.28637718,1
157,nfbVD-N1-S-83-O-NE-2-??,6:00,1,7,24,6,4,1,2,15/1/2015,4,0,20,4,1,24,24,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:05,1,3,23,15,2,0,1,15/1/2015,4,0,20,3,1,22.42907113,22.42907113,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:10,1,6,20,11,4,1,1,15/1/2015,4,0,20,0,1,20.85814226,20.85814226,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:15,1,4,20,6,3,1,0,15/1/2015,4,0,20,0,1,21.14407164,21.14407164,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:20,1,10,22,6,6,3,1,15/1/2015,4,0,20,2,1,21.43000101,21.43000101,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:25,1,9,22,3,7,0,2,15/1/2015,4,0,20,2,1,21.57539347,21.57539347,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:30,1,20,-99,-99,-99,-99,-99,15/1/2015,4,0,20,0,1,21.72078592,21.72078592,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:35,1,13,24,6,12,0,1,15/1/2015,4,0,20,4,1,21.72323889,21.72323889,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:40,1,14,22,10,13,0,1,15/1/2015,4,0,20,2,1,21.72569185,21.72569185,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:45,1,22,19,12,20,0,2,15/1/2015,4,0,20,-1,1,20.58042152,20.58042152,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:50,1,29,20,16,23,3,3,15/1/2015,4,0,20,0,1,19.43515119,19.43515119,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,6:55,1,21,19,18,17,1,3,15/1/2015,4,0,20,-1,1,19.78777425,19.78777425,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:00,1,30,21,20,26,2,2,15/1/2015,4,0,20,1,1,20.14039731,20.14039731,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:05,1,26,20,25,22,2,2,15/1/2015,4,0,20,0,1,20.84183805,20.84183805,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:10,1,20,23,18,18,1,1,15/1/2015,4,0,20,3,1,21.54327879,21.54327879,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:15,1,24,21,24,18,3,3,15/1/2015,4,0,20,1,1,20.49294096,20.49294096,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:20,1,23,18,27,17,4,2,15/1/2015,4,0,20,-2,1,19.44260313,19.44260313,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:25,1,25,20,35,20,3,2,15/1/2015,4,0,20,0,1,18.4417785,18.4417785,0.906145025
157,nfbVD-N1-S-83-O-NE-2-??,7:30,1,26,16,44,21,2,3,15/1/2015,4,0,20,-4,1,17.44095386,17.44095386,0.906145025
